Date,SKU,daily_sales,rolling_mean_7,rolling_std_7,demand_change,volatility_ratio,forecast_error,ghost_flag,ghost_demand
2022-04-29,J0003-SET-M,10,3.5714285714285716,3.25868802112869,9.0,0.9124323904349638,9.0,-1,1
2022-05-02,J0003-SET-M,1,5.142857142857143,3.6253078686998634,-0.875,0.7049208374014773,-7.0,-1,1
2022-04-21,J0003-SET-S,6,2.142857142857143,1.864454471471609,5.0,0.8700783473168554,5.0,-1,1
2022-04-23,J0003-SET-S,9,3.5714285714285716,2.935821455580639,2.0,0.8220297773942411,6.0,-1,1
2022-05-04,J0003-SET-S,12,5.428571428571429,3.8668308667927223,0.33333333333333326,0.712310817930877,3.0,-1,1
2022-05-05,J0003-SET-S,3,5.714285714285714,3.545621041711674,-0.75,0.6204835737149175,-9.0,-1,1
2022-05-10,J0003-SET-S,1,6.142857142857143,3.6709931185158164,-0.8571428571428572,0.5976034336368995,-6.0,-1,1
2022-06-05,J0003-SET-XS,8,3.142857142857143,2.734262327610589,3.0,0.8699922819694613,6.0,-1,1
2022-04-16,J0003-SET-XXXL,7,2.2857142857142856,2.214669705568283,6.0,0.968917572284686,6.0,-1,1
2022-04-30,J0003-SET-XXXL,9,3.5714285714285716,3.408672412985387,0.8,0.9544280083960659,4.0,-1,1
2022-05-17,J0003-SET-XXXL,7,2.5714285714285716,2.225394561056748,2.5,0.8654308816322812,5.0,-1,1
2022-05-05,J0041-SET-S,6,1.8571428571428572,1.8644544714716085,5.0,1.003936482518914,5.0,-1,1
2022-05-27,J0041-SET-XS,7,1.8571428571428572,2.2677868380553634,6.0,1.2211153321984785,6.0,-1,1
2022-04-24,J0095-SET-XXXL,5,1.5714285714285714,1.618347187425374,4.0,1.0298566457255545,4.0,-1,1
2022-05-30,J0117-TP-XL,6,3.142857142857143,2.1157009420498154,5.0,0.6731773582776,5.0,-1,1
2022-05-25,J0117-TP-XXL,6,2.2857142857142856,1.7994708216848745,5.0,0.7872681400573213,5.0,-1,1
2022-04-25,J0118-TP-L,6,2.2857142857142856,1.799470821684875,5.0,0.7872681400573215,5.0,-1,1
2022-05-14,J0119-TP-L,6,1.7142857142857142,1.889822365046136,5.0,1.1023957365460666,5.0,-1,1
2022-06-09,J0119-TP-L,7,2.2857142857142856,2.1380899352993956,6.0,0.935413937449888,6.0,-1,1
2022-05-15,J0119-TP-XXXL,8,3.142857142857143,2.47847879612821,3.0,0.7886066387568635,6.0,-1,1
2022-05-29,J0119-TP-XXXL,9,5.0,2.9439202887759484,1.25,0.5887839399984016,5.0,-1,1
2022-06-04,J0230-SKD-L,7,3.0,1.9148542155126742,6.0,0.6382845257427161,6.0,-1,1
2022-04-08,J0230-SKD-M,8,12.0,4.509249752822894,0.33333333333333326,0.37577078142100945,2.0,-1,1
2022-04-09,J0230-SKD-M,8,11.714285714285714,4.715728494951256,0.0,0.402562154228338,0.0,-1,1
2022-04-10,J0230-SKD-M,13,12.0,4.725815626252608,0.625,0.39381793603622267,5.0,-1,1
2022-04-11,J0230-SKD-M,7,10.428571428571429,4.197504927816955,-0.46153846153846156,0.40250043393446094,-6.0,-1,1
2022-04-12,J0230-SKD-M,2,8.714285714285714,4.8892496259407645,-0.7142857142857143,0.5610613681009144,-5.0,-1,1
2022-04-13,J0230-SKD-M,9,7.571428571428571,3.309438162646488,3.5,0.43709554865767125,7.0,-1,1
2022-04-14,J0230-SKD-M,11,8.285714285714286,3.4503277967117723,0.22222222222222232,0.416418821759494,2.0,-1,1
2022-04-15,J0230-SKD-M,7,8.142857142857142,3.4846602621858493,-0.36363636363636365,0.4279406813985295,-4.0,-1,1
2022-04-16,J0230-SKD-M,10,8.428571428571429,3.552329886011099,0.4285714285714286,0.4214628178277622,3.0,-1,1
2022-04-17,J0230-SKD-M,4,7.142857142857143,3.2366943748507495,-0.6,0.45313714903990404,-6.0,-1,1
2022-04-22,J0230-SKD-M,11,6.571428571428571,2.8784916685156996,1.2000000000000002,0.4380312742041517,6.0,-1,1
2022-04-24,J0230-SKD-M,15,7.857142857142857,3.9339789623472172,0.875,0.5006881678475154,7.0,-1,1
2022-04-25,J0230-SKD-M,7,7.857142857142857,3.9339789623472172,-0.5333333333333333,0.5006881678475154,-8.0,-1,1
2022-04-06,J0230-SKD-S,6,8.285714285714286,4.820590756130958,-0.625,0.5817953658680887,-10.0,-1,1
2022-04-08,J0230-SKD-S,7,9.0,4.041451884327381,0.16666666666666674,0.44905015947524685,1.0,-1,1
2022-04-09,J0230-SKD-S,10,9.714285714285714,3.638419332360584,0.4285714285714286,0.3745431280106205,3.0,-1,1
2022-04-10,J0230-SKD-S,11,10.0,3.6514837167011076,0.10000000000000009,0.3651483351552773,1.0,-1,1
2022-04-11,J0230-SKD-S,4,8.714285714285714,3.988077469754305,-0.6363636363636364,0.4576481817170962,-7.0,-1,1
2022-04-12,J0230-SKD-S,8,8.857142857142858,3.9339789623472154,1.0,0.4441588649567493,4.0,-1,1
2022-04-17,J0230-SKD-S,10,6.857142857142857,2.1930626551751335,1.0,0.3198215905723917,5.0,-1,1
2022-04-18,J0230-SKD-S,3,6.714285714285714,2.429971585175823,-0.7,0.3619106077203512,-7.0,-1,1
2022-04-19,J0230-SKD-S,10,7.0,2.7080128015453195,2.3333333333333335,0.38685891638377184,7.0,-1,1
2022-04-20,J0230-SKD-S,2,6.142857142857143,3.2366943748507473,-0.8,0.5269036496658065,-8.0,-1,1
2022-04-21,J0230-SKD-S,7,6.0,3.1622776601683786,2.5,0.5270461888536982,5.0,-1,1
